171,Florian Grillitsch,2023-2024,27,at AUT,Hoffenheim,de Bundesliga,30,2295,25.5,25,5,0,1,6,7,1,0,0,0,DFMF,ffbbc83b
172,Álex Grimaldo,2023-2024,27,es ESP,Leverkusen,de Bundesliga,33,2784,30.9,31,2,0,10,13,23,10,0,0,0,DF,b1f4086c
173,Christian Groß,2023-2024,34,de GER,Werder Bremen,de Bundesliga,20,797,8.9,8,12,11,0,1,1,0,0,0,0,DFMF,14a7af33
174,Brajan Gruda,2023-2024,19,de GER,Mainz 05,de Bundesliga,28,1641,18.2,19,9,1,4,3,7,4,0,0,0,MFFW,ae9b998d
175,Ilia Gruev,2023-2024,23,bg BUL,Werder Bremen,de Bundesliga,1,4,0.0,0,1,1,0,0,0,0,0,0,0,MF,1fc4f3d1
176,Raphaël Guerreiro,2023-2024,29,pt POR,Bayern Munich,de Bundesliga,20,1191,13.2,13,7,2,3,0,3,3,0,0,0,DFMF,048a1cbc
177,Josuha Guilavogui,2023-2024,32,fr FRA,Mainz 05,de Bundesliga,11,409,4.5,5,6,12,0,1,1,0,0,0,0,DF,e6c43eec
178,Serhou Guirassy,2023-2024,27,gn GUI,Stuttgart,de Bundesliga,28,2208,24.5,25,3,0,28,3,31,24,4,4,0,FW,923f4dda
179,Péter Gulácsi,2023-2024,33,hu HUN,RB Leipzig,de Bundesliga,13,1170,13.0,13,0,16,0,0,0,0,0,0,0,GK,bcb2ccd8
180,Manuel Gulde,2023-2024,32,de GER,Freiburg,de Bundesliga,27,2047,22.7,23,4,5,1,0,1,1,0,0,0,DF,25ab9c9c
181,Robert Gumny,2023-2024,25,pl POL,Augsburg,de Bundesliga,13,481,5.3,6,7,10,0,0,0,0,0,0,0,DF,1df0c0b9
182,Christian Günter,2023-2024,30,de GER,Freiburg,de Bundesliga,15,1060,11.8,13,2,1,1,2,3,1,0,0,0,DF,8593f88c
183,Janik Haberer,2023-2024,29,de GER,Union Berlin,de Bundesliga,21,1221,13.6,14,7,7,1,1,2,1,0,0,0,MFDF,70dcf94d
