
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
163,Danilo,2023-2024,22,br BRA,Nott'ham Forest,eng Premier League,29,1792,19.9,20,9,2,2,2,4,2,0,0,0,MF,a816dbfb
164,Arnaut Danjuma,2023-2024,26,nl NED,Everton,eng Premier League,14,595,6.6,5,9,14,1,0,1,1,0,0,0,MFFW,f08490a6
165,Jayden Danns,2023-2024,17,eng ENG,Liverpool,eng Premier League,2,9,0.1,0,2,4,0,0,0,0,0,0,0,FW,003cf4d1
166,Josh Dasilva,2023-2024,24,eng ENG,Brentford,eng Premier League,3,24,0.3,0,3,1,0,0,0,0,0,0,0,DFFW,60344e4f
167,David Datro Fofana,2023-2024,20,ci CIV,Burnley,eng Premier League,15,879,9.8,10,5,1,4,1,5,4,0,0,0,FW,e82900ef
168,Adam Davies,2023-2024,31,wls WAL,Sheffield Utd,eng Premier League,0,,,0,0,18,,,,,,,,GK,71894777
169,Ben Davies,2023-2024,30,wls WAL,Tottenham,eng Premier League,17,1090,12.1,12,5,13,1,0,1,1,0,0,0,DF,44781702
170,Tom Davies,2023-2024,25,eng ENG,Sheffield Utd,eng Premier League,9,221,2.5,2,7,1,0,0,0,0,0,0,0,MF,9228b07c
171,Craig Dawson,2023-2024,33,eng ENG,Wolves,eng Premier League,25,2209,24.5,25,0,2,1,1,2,1,0,0,0,DF,3e9e06cb
172,Kevin De Bruyne,2023-2024,32,be BEL,Manchester City,eng Premier League,18,1221,13.6,15,3,3,4,10,14,4,0,0,0,MF,e46012d4
173,Luc De Fougerolles,2023-2024,17,ca CAN,Fulham,eng Premier League,0,,,0,0,5,,,,,,,,DF,45c427ff
174,Hannes Delcroix,2023-2024,24,be BEL,Burnley,eng Premier League,12,589,6.5,5,7,10,0,0,0,0,0,0,0,DF,b737f944
175,Leander Dendoncker,2023-2024,28,be BEL,Aston Villa,eng Premier League,8,119,1.3,1,7,10,1,0,1,1,0,0,0,MF,5a7301ae
176,Moussa Diaby,2023-2024,24,fr FRA,Aston Villa,eng Premier League,38,2174,24.2,25,13,0,6,8,14,6,0,0,0,FWMF,aeed5c06
177,Amad Diallo,2023-2024,21,ci CIV,Manchester Utd,eng Premier League,9,390,4.3,3,6,8,1,1,2,1,0,0,0,FWMF,9dc96f10
178,Amadou Diallo,2023-2024,20,eng ENG,Newcastle Utd,eng Premier League,1,1,0.0,0,1,5,0,0,0,0,0,0,0,MF,e31708b2
