Name,Market Value
Antonio Puertas,€2.00m
Theo Corbeanu,€1.50m
José Callejón,€800k
Alberto Soro,€700k
Pablo Sáenz,€150k
Samu Aghehowa,€35.00m
Lucas Boyé,€7.00m
Matías Arezo,€7.00m
Shon Weissman,€1.70m
Famara Diédhiou,€500k
Eghosa Bello,€50k
Conan Ledesma,€5.00m
David Gil,€700k
Victor Aznar,€100k
Nando Almodóvar,€50k
Fali,€2.00m
Víctor Chust,€2.00m
Aiham Ousou,€1.80m
Jorge Meré,€1.00m
Luis Hernández,€500k
Momo Mbaye,€400k
Álex Morata,€150k
Adri Miranda,€100k
Adrián Salguero,€100k
Javi Hernández,€2.50m
Lucas Pires,€2.00m
Julio Cabrera,€150k
Iza Carcelén,€1.50m
Joseba Zaldua,€900k
Diadié Samassékou,€2.00m
José Mari,€200k
Rominigue Kouamé,€2.00m
Rubén Alcaraz,€1.50m
Álex Fernández,€1.50m
Gonzalo Escalante,€1.50m
Fede San Emeterio,€1.50m
Álvaro Bastida,€300k
Martín Calderón,€200k
Moussa Diakité,€150k
Robert Navarro,€6.00m
Juanmi,€6.00m
Darwin Machís,€2.00m
Brian Ocampo,€900k
José Antonio de la Rosa,€300k
Iván Alejo,€1.50m
Nico Njalla,€150k
Chris Ramos,€4.00m
Milutin Osmajic,€2.00m
Maxi Gómez,€2.00m
Rubén Sobrino,€1.40m
Roger Martí,€1.20m
Sergi Guardiola,€800k
Etta Eyong,€300k
Álvaro Negredo,€300k
Borja Vázquez,€50k
