"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Montassar Talbi",7e+06,25,41,400,2204,0,0,"DF"
"Formose Mendy",4500000,22,18,400,1256,0,0,"DF"
"Nathaniel Adjei",2500000,20,64,400,1243,0,0,"DF"
"Julien Laporte",2e+06,29,2,400,1818,0,0,"DF"
"Loris Mouyokolo",3e+05,22,2,400,90,0,0,"DF"
"Benjamin Mendy",2e+06,29,2,400,711,2,1,"DF"
"Darlin Yongwa",1500000,22,49,400,1159,1,1,"DF"
"Panos Katseris",2500000,22,51,400,1041,1,1,"DF"
"Dembo Sylla",7e+05,20,77,400,45,0,0,"DF"
"Laurent Abergel",3e+06,30,2,400,2860,2,1,"MF"
"Tiemoué Bakayoko",2e+06,28,2,400,1314,2,1,"MF"
"Bonke Innocent",1e+06,27,38,400,210,0,0,"MF"
"Jean-Victor Makengo",6e+06,25,2,400,479,0,0,"FWMF"
"Ayman Kari",4e+06,18,2,400,893,1,1,"MF"
"Gino Caoki",50000,19,2,400,7,0,0,"MF"
"Romain Faivre",1.5e+07,25,2,400,1453,5,1,"FWMF"
"Théo Le Bris",2e+06,20,2,400,1516,0,2,"MFDF"
"Julien Ponceau",3500000,22,2,400,2244,3,2,"MF"
"Joel Mvuka",3500000,20,46,400,197,0,0,"FWDF"
"Eli Junior Kroupi",1.5e+07,17,2,400,1084,5,3,"FWMF"
"Mohamed Bamba",6e+06,21,37,400,1138,8,3,"FW"
"Bamba Dieng",4e+06,23,18,400,549,4,1,"FW"
"Ibrahima Koné",2500000,24,50,400,32,0,0,"FW"
"Pablo Pagis",1e+06,20,2,400,165,0,0,"MF"
"Siriné Doucouré",1e+06,21,50,400,423,1,3,"FW"
