"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Aljoscha Kemlein",3e+06,18,16,184,29,0,0,"MF"
"Aïssa Laïdouni",6e+06,26,41,184,1071,0,3,"MF"
"András Schäfer",5e+06,24,27,184,1214,1,2,"MF"
"Alex Král",5e+06,25,34,184,1370,0,0,"MF"
"Janik Haberer",3e+06,29,16,184,1221,1,1,"MFDF"
"Brenden Aaronson",1.2e+07,22,11,184,1267,2,2,"FWMF"
"Sheraldo Becker",1e+07,28,141,184,645,0,1,"FWMF"
"David Datro Fofana",1.2e+07,20,37,184,682,1,0,"FWMF"
"Yorbe Vertessen",5e+06,22,3,184,593,3,2,"FWMF"
"Kevin Volland",4e+06,31,16,184,1345,3,4,"FWMF"
"Benedict Hollerbach",4e+06,22,16,184,1282,5,0,"FWMF"
"Mikkel Kaufmann",2700000,22,21,184,486,1,0,"FW"
"Chris Bedia",2500000,27,37,184,145,1,0,"FWMF"
"Tim Oermann",4e+06,19,16,264,714,0,0,"DF"
"Ivan Ordets",2500000,31,24,264,1880,1,0,"DF"
"Noah Loosli",8e+05,26,19,264,346,0,0,"DF"
"Bernardo",5500000,28,4,264,2924,1,0,"DF"
"Maximilian Wittek",2e+06,27,16,264,1070,3,1,"FWDF"
"Danilo Soares",7e+05,31,4,264,351,0,0,"DF"
"Felix Passlack",1800000,25,16,264,960,2,2,"DF"
"Cristian Gamboa",5e+05,33,52,264,1187,0,1,"DF"
"Anthony Losilla",5e+05,37,2,264,2576,1,2,"MF"
"Patrick Osterhage",7e+06,23,16,264,1861,2,1,"MF"
"Kevin Stöger",5e+06,29,25,264,2668,7,10,"MF"
"Philipp Förster",1800000,28,16,264,385,0,0,"FWMF"
"Lukas Daschner",1200000,24,16,264,536,1,1,"FWMF"
"Moritz-Broni Kwarteng",1200000,25,64,264,281,0,1,"FW"
"Christopher Antwi-Adjei",1200000,29,64,264,1216,2,2,"FWMF"
"Takuma Asano",4e+06,28,17,264,1986,6,1,"FWMF"
"Moritz Broschinski",3e+06,22,16,264,1247,2,3,"FW"
"Philipp Hofmann",1800000,30,16,264,1571,4,2,"FW"
"Gonçalo Paciência",1500000,28,6,264,650,3,1,"FWMF"
"Simon Zoller",350000,32,16,264,45,0,0,"FWMF"
"Timo Hübers",5500000,27,16,250,2778,0,0,"DF"
"Luca Kilian",2e+06,23,16,250,635,0,0,"DF"
"Dominique Heintz",8e+05,29,16,250,568,0,0,"DF"
"Max Finkgräfe",6e+06,19,16,250,1756,1,0,"FWDF"
"Jan Thielmann",5e+06,21,16,250,1579,1,0,"FWDF"
"Rasmus Carstensen",2e+06,22,21,250,1659,0,0,"FWDF"
"Benno Schmitz",1500000,28,16,250,1155,0,1,"DF"
"Eric Martel",7500000,21,16,250,2457,1,1,"MF"
"Dejan Ljubicic",5e+06,25,25,250,2048,0,2,"FWMF"
"Jacob Christensen",1500000,22,21,250,219,0,0,"MF"
"Mathias Olesen",1500000,22,85,250,112,0,0,"FWMF"
"Florian Kainz",2500000,30,25,250,2197,5,4,"FWMF"
"Linton Maina",3e+06,24,16,250,1901,1,3,"FWMF"
"Faride Alidou",2500000,22,16,250,1282,4,0,"FWMF"
"Justin Diehl",2500000,18,16,250,168,0,0,"FWMF"
"Davie Selke",2800000,28,16,250,1265,6,0,"FW"
"Luca Waldschmidt",2500000,27,16,250,1146,3,0,"FWMF"
"Damion Downs",2e+06,19,11,250,181,2,0,"FWMF"
"Steffen Tigges",1500000,25,16,250,727,3,0,"FW"
"Mark Uth",1e+06,31,16,250,373,0,1,"FWMF"
"Sargis Adamyan",6e+05,30,96,250,801,1,2,"FWMF"
"Florian Dietz",6e+05,24,16,250,70,0,0,"FWMF"
"Christoph Klarer",3e+06,23,25,750,2354,2,2,"DF"
"Matej Maglica",2e+06,24,9,750,1698,1,0,"DF"
"Clemens Riedel",2e+06,20,16,750,755,0,0,"DF"
"Christoph Zimmermann",1e+06,30,16,750,1220,0,0,"DF"
"Jannik Müller",8e+05,29,16,750,1134,0,0,"MFDF"
"Thomas Isherwood",5e+05,25,28,750,636,0,0,"DF"
"Emir Karic",1e+06,26,25,750,1783,0,0,"DF"
"Fabian Holland",5e+05,33,16,750,1835,0,2,"MFDF"
"Matthias Bader",1800000,26,16,750,1802,1,2,"MFDF"
"Frank Ronstadt",550000,26,16,750,76,0,0,"MFDF"
"Andreas Müller",8e+05,23,16,750,349,0,0,"MF"
"Klaus Gjasula",4e+05,33,66,750,1363,0,0,"MFDF"
"Fabian Schnellhardt",1e+06,29,16,750,235,0,0,"MF"
"Tobias Kempe",5e+05,34,16,750,1350,3,2,"MF"
"Fabian Nürnberger",2500000,24,82,750,1513,1,1,"MFDF"
"Marvin Mehlem",2500000,25,16,750,1482,3,2,"MF"
"Mathias Honsak",1200000,26,25,750,1021,1,1,"FWMF"
"Gerrit Holtmann",1e+06,28,147,750,392,0,0,"FWMF"
"Tim Skarke",3e+06,26,16,750,2404,8,0,"FWDF"
"Braydon Manu",1200000,26,64,750,171,0,0,"MF"
"Oscar Vilhelmsson",2e+06,19,28,750,1374,4,1,"FWMF"
"Fraser Hornby",1200000,23,39,750,217,0,0,"FWMF"
"Luca Pfeiffer",1200000,26,16,750,1619,1,4,"FWMF"
"Aaron Seydel",5e+05,27,16,750,619,1,0,"FW"
"Sebastian Polter",5e+05,32,16,750,446,0,1,"FW"
"Fabio Torsiello",5e+05,18,10,750,156,0,0,"FWDF"
