"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Cristian Herrera",3e+05,32,8,312,166,1,0,"FWMF"
"Daley Blind",3e+06,33,7,18,2972,1,2,"DF"
"Juanpe",1e+06,32,8,18,746,0,0,"DF"
"Bernardo Espinosa",550000,34,12,18,2,0,0,"DF"
"Miguel Gutiérrez",2.5e+07,22,8,18,3032,2,7,"DF"
"Yan Couto",2.5e+07,21,4,18,2245,1,8,"FWDF"
"Aleix García",2.5e+07,26,8,18,3199,3,6,"MF"
"Yangel Herrera",2.5e+07,25,54,18,2107,5,0,"MF"
"Iván Martín",1.5e+07,24,8,18,2729,5,4,"MF"
"Pablo Torre",3e+06,20,8,18,701,0,2,"FWMF"
"Toni Villa",1500000,28,8,18,13,0,0,"FW"
"Valery Fernández",2500000,23,8,18,506,2,0,"FWMF"
"Artem Dovbyk",3.5e+07,26,24,18,2587,24,8,"FW"
"Cristhian Stuani",1800000,36,14,18,804,9,3,"FW"
"César Montes",3e+06,26,15,363,1788,0,0,"DF"
"Kaiky",2e+06,19,4,363,523,1,0,"DF"
"Chumi",2e+06,24,8,363,2434,0,1,"DF"
"Sergio Akieme",7e+06,25,8,363,1675,2,0,"DF"
"Bruno Langa",1500000,25,103,363,820,1,0,"DF"
"Álex Centelles",1200000,25,8,363,980,0,1,"DF"
"Marc Pubill",4e+06,20,8,363,1883,1,3,"DF"
"Houboulang Mendes",7e+05,25,115,363,396,0,0,"DF"
"Dion Lopy",1e+07,21,18,363,1916,0,0,"MF"
"Lucas Robertone",7e+06,26,1,363,2381,0,5,"MF"
"Iddrisu Baba",2200000,27,64,363,1430,0,0,"MF"
"Arnau Puigmal",1800000,22,8,363,255,0,0,"FWDF"
"Gonzalo Melero",1800000,29,8,363,1103,1,1,"FWMF"
"Marcos Peña",1e+06,18,8,363,441,0,0,"MF"
"Sergio Arribas",1e+07,21,8,363,2047,9,4,"FWMF"
"Largie Ramazani",5e+06,22,3,363,1555,3,5,"FWMF"
"Lázaro",3500000,21,4,363,285,0,0,"FWMF"
"Luka Romero",5e+06,18,1,363,438,3,0,"FW"
"Ibrahima Koné",2500000,24,50,363,277,0,0,"FW"
"Léo Baptistão",1500000,30,4,363,1837,6,0,"FW"
"Bruno Méndez",5e+06,23,14,464,1333,2,0,"DF"
"Raúl Torrente",3e+06,21,8,464,1250,0,0,"DF"
"Ignasi Miquel",1200000,30,8,464,2992,1,1,"DF"
"Jesús Vallejo",1e+06,26,8,464,108,0,0,"DF"
"Álvaro Carreras",7e+06,20,8,464,475,0,0,"FWMF"
"Faitout Maouassa",4e+06,25,2,464,229,0,1,"MFDF"
"Carlos Neva",2500000,27,8,464,3146,0,2,"DF"
"Ricard Sánchez",2500000,23,8,464,2295,3,0,"DF"
"Wilson Manafá",1300000,29,6,464,240,0,0,"MFDF"
"Víctor Díaz",4e+05,35,8,464,162,0,0,"MFDF"
"Gerard Gumbau",3e+06,28,8,464,2674,0,3,"MF"
"Martin Hongla",2500000,25,49,464,562,0,0,"MFDF"
"Gonzalo Villar",3e+06,25,8,464,1803,1,3,"MF"
"Sergio Ruiz",2e+06,28,8,464,2494,0,4,"MF"
"Óscar Melendo",2e+06,25,8,464,1122,0,0,"FWMF"
"Bryan Zaragoza",1.2e+07,22,8,464,1638,6,2,"FWMF"
"Myrto Uzuni",8e+06,28,66,464,2448,11,1,"FW"
"Kamil Jóźwiak",2e+06,25,26,464,571,0,1,"MF"
"Alberto Perea",450000,32,8,464,2,0,0,"FWMF"
"Sergio Rodelas",2e+05,18,8,464,122,0,1,"FWDF"
"Facundo Pellistri",8e+06,21,14,464,1232,2,1,"FWMF"
"Antonio Puertas",2e+06,31,8,464,730,0,2,"FWMF"
"Theo Corbeanu",1500000,21,48,464,182,1,0,"FWMF"
"José Callejón",8e+05,36,8,464,803,0,1,"FWMF"
"Alberto Soro",7e+05,24,8,464,8,0,0,"MF"
"Lucas Boyé",7e+06,27,1,464,2541,6,3,"FW"
"Shon Weissman",1700000,27,79,464,82,0,0,"FW"
"Fali",2e+06,29,8,249,2547,0,0,"DF"
"Víctor Chust",2e+06,23,8,249,1864,0,1,"DF"
"Aiham Ousou",1800000,23,93,249,430,0,0,"DF"
"Jorge Meré",1e+06,26,8,249,673,0,0,"DF"
"Luis Hernández",5e+05,34,8,249,723,1,0,"DF"
"Javi Hernández",2500000,25,8,249,2514,1,2,"DF"
"José Mari",2e+05,35,8,249,14,0,0,"FWMF"
"Rominigue Kouamé",2e+06,26,50,249,821,0,0,"MF"
"Rubén Alcaraz",1500000,32,8,249,3134,3,1,"MF"
"Álex Fernández",1500000,30,8,249,1285,0,1,"MF"
"Gonzalo Escalante",1500000,30,1,249,1697,1,2,"MF"
"Fede San Emeterio",1500000,26,8,249,152,1,0,"MF"
"Moussa Diakité",150000,19,50,249,1,0,0,"MF"
"Juanmi",6e+06,30,8,249,873,3,1,"FW"
"Darwin Machís",2e+06,30,54,249,785,4,0,"MF"
"Brian Ocampo",9e+05,24,14,249,248,1,0,"FWMF"
"Iván Alejo",1500000,28,8,249,1692,0,2,"MF"
"Chris Ramos",4e+06,26,8,249,2612,5,1,"FWMF"
"Maxi Gómez",2e+06,26,14,249,1163,0,0,"FW"
"Rubén Sobrino",1400000,31,8,249,1646,0,1,"FWMF"
"Roger Martí",1200000,32,8,249,1359,2,3,"FW"
"Sergi Guardiola",8e+05,32,8,249,495,1,1,"FWMF"
"Álvaro Negredo",3e+05,37,8,249,54,0,0,"FWMF"
"Borja Vázquez",50000,18,8,249,4,0,0,"FW"
