"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Nuno Tavares",1.5e+07,23,6,141,457,0,0,"DF"
"Harry Toffolo",5e+06,27,5,141,1459,1,3,"DF"
"Neco Williams",1.7e+07,22,29,141,1637,0,1,"DF"
"Ola Aina",1.2e+07,26,38,141,1692,1,1,"DF"
"Gonzalo Montiel",1e+07,26,1,141,801,0,2,"DF"
"Serge Aurier",3700000,30,37,141,833,0,2,"MFDF"
"Ibrahim Sangaré",3e+07,25,37,141,1035,0,0,"MF"
"Danilo",2.8e+07,22,4,141,1792,2,2,"MF"
"Orel Mangala",2e+07,25,3,141,1563,1,0,"MF"
"Cheikhou Kouyaté",1e+06,33,18,141,212,0,0,"MF"
"Nicolás Domínguez",1.7e+07,25,1,141,1495,2,2,"FWMF"
"Ryan Yates",1.2e+07,25,5,141,1992,1,1,"MF"
"Morgan Gibbs-White",4e+07,23,5,141,3156,5,10,"FWMF"
"Brandon Aguilera",3e+05,20,52,141,5,0,0,"FW"
"Callum Hudson-Odoi",1.8e+07,22,5,141,1854,8,1,"FWMF"
"Anthony Elanga",2.2e+07,21,28,141,2433,5,9,"FWMF"
"Taiwo Awoniyi",2.8e+07,25,38,141,1042,6,3,"FW"
"Chris Wood",7e+06,31,107,141,1812,14,1,"FW"
"Divock Origi",5e+06,28,3,141,606,0,1,"FW"
"Rodrigo Ribeiro",3e+06,18,6,141,17,0,0,"FWMF"
"Cristian Romero",6e+07,25,1,39,2790,5,0,"DF"
"Micky van de Ven",5.5e+07,22,7,39,2339,3,0,"DF"
"Radu Drăgușin",2.5e+07,21,47,39,429,0,0,"DF"
"Davinson Sánchez",1.7e+07,27,12,39,77,0,0,"DF"
"Eric Dier",1.2e+07,29,5,39,201,0,0,"DF"
"Ben Davies",1e+07,30,29,39,1090,1,0,"DF"
"Destiny Udogie",4.5e+07,20,10,39,2391,2,3,"DF"
"Pedro Porro",4.5e+07,23,8,39,3089,3,7,"DF"
"Yves Bissouma",3.5e+07,26,50,39,2068,0,0,"MF"
"Rodrigo Bentancur",3.5e+07,26,14,39,1005,1,1,"MF"
"Oliver Skipp",1.5e+07,22,5,39,707,0,0,"MFDF"
"Pape Matar Sarr",4.5e+07,20,18,39,2069,3,3,"MF"
"Giovani Lo Celso",1.6e+07,27,1,39,506,2,2,"MF"
"James Maddison",7e+07,26,5,39,2135,4,9,"MF"
"Dejan Kulusevski",5.5e+07,23,28,39,2762,8,3,"FWMF"
"Timo Werner",1.7e+07,27,16,39,809,2,3,"FW"
"Bryan Gil",1.4e+07,22,8,39,209,0,0,"FWMF"
"Manor Solomon",1.3e+07,24,79,39,199,0,2,"FW"
"Jamie Donley",1500000,18,5,39,3,0,0,"FW"
"Richarlison",3.8e+07,26,4,39,1491,11,4,"FW"
"Dane Scarlett",1800000,19,5,39,22,0,0,"FW"
"Nayef Aguerd",3.5e+07,27,12,86,1857,1,0,"DF"
"Kurt Zouma",2.5e+07,28,2,86,2838,3,0,"DF"
"Konstantinos Mavropanos",2e+07,25,51,86,1500,1,0,"DF"
"Thilo Kehrer",1e+07,26,16,86,22,0,0,"MFDF"
"Kaelan Casey",1e+06,18,5,86,1,0,0,"DF"
"Angelo Ogbonna",7e+05,35,10,86,635,0,0,"DF"
"Emerson",1.2e+07,24,4,39,1161,1,0,"DF"
"Aaron Cresswell",9e+05,33,5,86,436,0,0,"FWDF"
"Ben Johnson",8e+06,23,5,86,544,0,0,"FWDF"
"Vladimír Coufal",8e+06,30,34,86,3132,0,7,"DF"
"Edson Álvarez",3.5e+07,25,15,86,2377,1,1,"MF"
"James Ward-Prowse",3e+07,28,5,86,3001,7,7,"MF"
"Lucas Paquetá",6.5e+07,25,4,86,2622,4,6,"FWMF"
"Pablo Fornals",1.4e+07,27,8,86,426,0,0,"FWMF"
"George Earthy",1e+06,18,5,86,34,1,0,"FW"
