"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Hamza Rafia",1700000,24,41,231,1204,1,0,"MF"
"Medon Berisha",1e+06,19,66,231,205,0,0,"FWMF"
"Lameck Banda",6e+06,22,90,231,1350,2,4,"FW"
"Federico Di Francesco",1400000,29,10,231,15,1,0,"FWMF"
"Nicola Sansone",1e+06,31,10,231,767,2,2,"FWMF"
"Marcin Listkowski",2e+05,25,26,231,8,0,0,"FW"
"Patrick Dorgu",1.2e+07,18,21,231,1564,2,0,"MFDF"
"Gabriel Strefezza",6e+06,26,4,231,1112,1,0,"FW"
"Pontus Almqvist",3e+06,24,28,231,2107,2,1,"FWMF"
"Santiago Pierotti",2500000,22,1,231,200,0,2,"FWMF"
"Jeppe Corfitzen",4e+05,18,21,231,9,0,0,"FW"
"Nikola Krstović",6e+06,23,72,231,2373,7,1,"FW"
"Nehuén Pérez",1.3e+07,23,1,136,3238,0,0,"DF"
"Jaka Bijol",1e+07,24,57,136,2084,0,0,"DF"
"Thomas Kristensen",4500000,21,21,136,2096,0,1,"DF"
"Enzo Ebosse",2500000,24,49,136,8,0,0,"DF"
"Christian Kabasele",1e+06,32,3,136,861,1,1,"DF"
"Axel Guessand",5e+05,18,2,136,45,0,0,"DF"
"Jordan Zemura",5e+06,23,129,136,1038,1,0,"DF"
"Hassane Kamara",4500000,29,37,136,2225,1,1,"DF"
"Kingsley Ehizibue",2200000,28,7,136,955,0,1,"DF"
"João Ferreira",2e+06,22,6,136,1822,0,1,"DF"
"Walace",6e+06,28,4,136,3238,2,0,"MF"
"Sandi Lovrić",8e+06,25,57,136,1987,1,3,"MF"
"Martín Payero",4500000,24,1,136,1796,2,2,"MF"
"Oier Zarraga",2e+06,24,8,136,404,2,0,"MF"
"Roberto Pereyra",2e+06,32,1,136,1858,4,3,"FWMF"
"Domingos Quina",1500000,23,6,136,13,0,0,"MF"
"Festy Ebosele",6e+06,20,60,136,1700,0,0,"DF"
"Simone Pafundi",1e+07,17,10,136,8,0,0,"MF"
"Marley Aké",1600000,22,2,136,10,0,0,"FW"
"Florian Thauvin",3e+06,30,2,136,1710,5,3,"FW"
"Beto",2e+07,25,115,136,74,0,0,"FW"
"Lorenzo Lucca",1.2e+07,22,10,136,2592,8,4,"FW"
"Brenner",7e+06,23,4,136,189,0,0,"FWMF"
"Keinan Davis",3e+06,25,5,136,186,1,0,"FWMF"
"Isaac Success",2500000,27,38,136,880,1,1,"FWMF"
"Vivaldo Semedo",5e+05,18,6,136,12,0,0,"FW"
"Alberto Dossena",5e+06,24,10,238,2977,2,4,"DF"
"Adam Obert",3500000,20,45,238,941,0,0,"DF"
"Mateusz Wieteska",3e+06,26,26,238,965,0,1,"DF"
"Pantelis Hatzidiakos",2500000,26,51,238,856,0,0,"DF"
"Edoardo Goldaniga",1200000,29,10,238,1011,0,0,"DF"
"Tommaso Augello",2e+06,28,10,238,2418,1,1,"DF"
"Paulo Azzi",1e+06,29,4,238,950,0,0,"MFDF"
"Gabriele Zappa",2500000,23,10,238,2561,1,3,"DF"
"Alessandro Di Pardo",9e+05,24,10,238,359,0,0,"MFDF"
"Matteo Prati",1e+07,19,10,238,1972,1,1,"MF"
"Antoine Makoumbou",4500000,25,113,238,2702,1,0,"MF"
"Ibrahim Sulemana",4e+06,20,64,238,1339,2,0,"MF"
"Nahitan Nández",5e+06,27,14,238,2341,2,3,"MFDF"
"Alessandro Deiola",1900000,27,10,238,1608,1,0,"MF"
"Nicolas Viola",8e+05,33,10,238,1207,5,2,"FWMF"
"Jakub Jankto",1200000,27,34,238,872,1,2,"FWMF"
"Gaetano Oristanio",4e+06,20,10,238,1104,2,1,"FWMF"
"Marco Mancosu",4e+05,34,10,238,156,0,0,"FWMF"
"Zito Luvumbo",7500000,21,92,238,1946,4,5,"FWMF"
"Eldor Shomurodov",5e+06,28,62,238,936,3,3,"FWMF"
"Gianluca Lapadula",1500000,33,31,238,1205,3,1,"FW"
"Kingstone Mutandwa",1e+06,20,90,238,39,1,0,"FWMF"
"Leonardo Pavoletti",8e+05,34,10,238,628,4,1,"FW"
"Sebastiano Luperto",3500000,26,10,169,3406,1,1,"DF"
"Ardian Ismajli",3e+06,26,66,169,2045,0,0,"DF"
"Sebastian Walukiewicz",2500000,23,26,169,2055,0,0,"DF"
"Giuseppe Pezzella",2200000,25,10,169,1085,0,0,"DF"
"Liberato Cacace",2e+06,22,107,169,1912,0,1,"DF"
"Tyronne Ebuehi",2e+06,27,38,169,1099,0,1,"DF"
"Bartosz Bereszyński",1300000,31,26,169,1762,0,1,"DF"
"Răzvan Marin",2700000,27,47,169,1818,0,3,"MF"
"Alberto Grassi",1800000,28,10,169,1807,0,1,"MF"
"Jacopo Fazzini",6e+06,20,10,169,1232,1,1,"MF"
"Filippo Ranocchia",4e+06,22,10,169,476,0,0,"MFDF"
"Szymon Żurkowski",2500000,25,26,169,868,4,0,"MF"
"Simone Bastoni",1500000,26,10,169,745,1,0,"MFDF"
"Liam Henderson",1400000,27,39,169,5,0,0,"MF"
"Nicolas Haas",7e+05,27,19,169,90,0,0,"MF"
"Viktor Kovalenko",1500000,27,24,169,613,1,1,"MF"
"Andrea Sodero",3e+05,18,10,169,5,0,0,"MF"
"Emmanuel Gyasi",1800000,29,64,169,1879,1,2,"FWDF"
"Matteo Cancellieri",4800000,21,10,169,1788,4,3,"FWMF"
"Emmanuel Ekong",5e+05,21,28,169,5,0,0,"FW"
"Nicolò Cambiaghi",7e+06,22,10,169,2553,1,1,"FWMF"
"M'Baye Niang",2500000,28,18,169,708,6,1,"FW"
"Alberto Cerri",1700000,27,10,169,545,1,0,"FW"
"Francesco Caputo",1e+06,35,10,169,1268,3,0,"FW"
"Mattia Destro",5e+05,32,10,169,366,0,0,"FWMF"
"Giacomo Corona",4e+05,19,10,169,5,0,0,"FW"
"Ilario Monterisi",2800000,21,10,325,1469,2,2,"DF"
"Simone Romagnoli",8e+05,33,10,325,2715,1,1,"DF"
"Mateus Lusuardi",3e+05,19,4,325,219,0,0,"DF"
"Riccardo Marchizza",2500000,25,10,325,1148,0,4,"DF"
"Emanuele Valeri",2300000,24,10,325,1178,0,1,"DF"
"Anthony Oyono",2e+06,22,83,325,1198,0,1,"DF"
"Pol Lirola",1800000,25,8,325,1536,2,1,"DF"
"Enzo Barrenechea",7500000,22,1,325,2811,0,1,"MF"
"Luca Mazzitelli",4e+06,27,10,325,2210,5,0,"MF"
"Marco Brescianini",3500000,23,10,325,2321,4,2,"MF"
"Abdou Harroui",2700000,25,7,325,1019,3,3,"FWMF"
"Mehdi Bourabia",1e+06,31,12,325,200,0,0,"MF"
"Reinier",3500000,21,4,325,1059,2,2,"FWMF"
